image,type,prompt,ground_truth
generated_images_qutip/Cat_state_N19_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 19 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N19_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 19 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N19_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 19 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N19_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 19 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N19_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N18_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 18 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N18_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 18 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N17_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 17 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N17_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 17 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N16_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 16 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N16_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 16 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N15_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 15 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N15_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 15 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N14_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 14 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N14_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 14 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N13_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 13 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N13_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 13 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N12_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 12 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N12_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 12 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N11_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 11 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N11_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 11 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N11_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 11 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N11_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 11 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N11_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 11 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N11_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 11 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N11_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 11 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N11_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 11 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N11_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 11 in the linear space -5 to 5."
